bun test v1.3.14 (0d9b296a)

tests/smithy/native.test.ts:
(pass) US-014-AC1: exact native metadata and recursive service shapes survive JSON/YAML [195.91ms]
(pass) US-014-AC2: unknown native meaning survives; unknown representation blocks export [52.77ms]
(pass) US-014-AC3: every pinned upstream valid-loader JSON fixture round-trips [2307.22ms]

tests/smithy/bundle.test.ts:
(pass) US-014-AC5: supplied dependency models survive bundle and UMF round trips [155.08ms]
(pass) US-014-AC6: duplicate IDs, malformed dependency AST and unknown representation are explicit [50.97ms]

tests/smithy/sources.test.ts:
(pass) US-014-AC7: IDL/JSON source bundles preserve exact text and candidate edits [108.46ms]
(pass) US-014-AC8: source path constraints and unknown representation remain explicit [45.66ms]
(pass) US-014-AC9: all pinned valid-loader IDL fixtures survive exact source round trips [1540.45ms]
(pass) US-014-AC13: pinned invalid-loader inventory and every fixture hash remain intact [9.91ms]
(pass) US-014-AC13: apply/apply-block-missing-closing.smithy retains exact source without claiming validity [24.11ms]
(pass) US-014-AC13: apply/apply-missing-newline.smithy retains exact source without claiming validity [24.69ms]
(pass) US-014-AC13: apply/apply-missing-space.smithy retains exact source without claiming validity [24.31ms]
(pass) US-014-AC13: apply/apply-missing-trait-value.smithy retains exact source without claiming validity [23.89ms]
(pass) US-014-AC13: control/control-colon-newline.smithy retains exact source without claiming validity [27.27ms]
(pass) US-014-AC13: control/control-missing-value.smithy retains exact source without claiming validity [24.35ms]
(pass) US-014-AC13: control/control-newline.smithy retains exact source without claiming validity [24.24ms]
(pass) US-014-AC13: control/control-statement-before-others.smithy retains exact source without claiming validity [24.39ms]
(pass) US-014-AC13: control/control-version-defined-twice.smithy retains exact source without claiming validity [24.23ms]
(pass) US-014-AC13: control/control-with-invalid-key.smithy retains exact source without claiming validity [26.18ms]
(pass) US-014-AC13: control/control-with-invalid-key2.smithy retains exact source without claiming validity [24.13ms]
(pass) US-014-AC13: control/control-with-no-colon.smithy retains exact source without claiming validity [26.17ms]
(pass) US-014-AC13: control/no-newline-after-control.smithy retains exact source without claiming validity [25.22ms]
(pass) US-014-AC13: defaults/default-in-v1.smithy retains exact source without claiming validity [23.66ms]
(pass) US-014-AC13: defaults/default-incomplete-node.smithy retains exact source without claiming validity [24.00ms]
(pass) US-014-AC13: defaults/default-missing-structure-close.smithy retains exact source without claiming validity [24.56ms]
(pass) US-014-AC13: defaults/default-missing-value.smithy retains exact source without claiming validity [23.43ms]
(pass) US-014-AC13: defaults/default-with-newline-before-value.smithy retains exact source without claiming validity [23.65ms]
(pass) US-014-AC13: defaults/missing-newline-after-assignment.smithy retains exact source without claiming validity [24.95ms]
(pass) US-014-AC13: elision/elide-nonexistent-id.smithy retains exact source without claiming validity [24.47ms]
(pass) US-014-AC13: elision/elided-property-type-conflicts.smithy retains exact source without claiming validity [24.19ms]
(pass) US-014-AC13: elision/elided-type-conflicts.smithy retains exact source without claiming validity [24.47ms]
(pass) US-014-AC13: elision/eliding-with-resources-in-v1.smithy retains exact source without claiming validity [25.24ms]
(pass) US-014-AC13: elision/eliding-without-resources-v1.smithy retains exact source without claiming validity [26.97ms]
(pass) US-014-AC13: elision/for-after-with.smithy retains exact source without claiming validity [25.52ms]
(pass) US-014-AC13: elision/for-referencing-non-resource.smithy retains exact source without claiming validity [24.61ms]
(pass) US-014-AC13: elision/list-member-elision-in-v1.smithy retains exact source without claiming validity [24.14ms]
(pass) US-014-AC13: elision/structure-member-elision-in-v1.smithy retains exact source without claiming validity [24.07ms]
(pass) US-014-AC13: enums/enum-with-bad-values.smithy retains exact source without claiming validity [23.28ms]
(pass) US-014-AC13: enums/enum-with-duplicates.smithy retains exact source without claiming validity [24.82ms]
(pass) US-014-AC13: enums/enum-with-newline-before-value.smithy retains exact source without claiming validity [24.46ms]
(pass) US-014-AC13: enums/enum-without-member.smithy retains exact source without claiming validity [24.07ms]
(pass) US-014-AC13: enums/idl-enums-in-v1.smithy retains exact source without claiming validity [24.63ms]
(pass) US-014-AC13: enums/int-enum-without-member.smithy retains exact source without claiming validity [23.65ms]
(pass) US-014-AC13: enums/intEnum-with-bad-value.smithy retains exact source without claiming validity [23.05ms]
(pass) US-014-AC13: enums/intEnum-with-duplicates.smithy retains exact source without claiming validity [24.26ms]
(pass) US-014-AC13: enums/intEnum-with-float.smithy retains exact source without claiming validity [25.95ms]
(pass) US-014-AC13: enums/intEnum-with-long.smithy retains exact source without claiming validity [23.78ms]
(pass) US-014-AC13: enums/missing-newline-after-assignment.smithy retains exact source without claiming validity [23.45ms]
(pass) US-014-AC13: inline-io/inline-error.smithy retains exact source without claiming validity [23.77ms]
(pass) US-014-AC13: inline-io/inline-io-in-explicit-1-0.smithy retains exact source without claiming validity [23.42ms]
(pass) US-014-AC13: inline-io/inline-io-in-implicit-1-0.smithy retains exact source without claiming validity [23.84ms]
(pass) US-014-AC13: inline-io/inline-name-override.smithy retains exact source without claiming validity [25.53ms]
(pass) US-014-AC13: inline-io/inline-single-error.smithy retains exact source without claiming validity [22.10ms]
(pass) US-014-AC13: inline-io/inline-structure-member.smithy retains exact source without claiming validity [26.07ms]
(pass) US-014-AC13: inline-io/walrus-operator-in-node.smithy retains exact source without claiming validity [24.14ms]
(pass) US-014-AC13: lists/list-empty-members.smithy retains exact source without claiming validity [23.64ms]
(pass) US-014-AC13: lists/no-sets-in-v2.smithy retains exact source without claiming validity [23.99ms]
(pass) US-014-AC13: lists/set-empty-members.smithy retains exact source without claiming validity [25.35ms]
(pass) US-014-AC13: maps/map-empty-members.smithy retains exact source without claiming validity [25.54ms]
(pass) US-014-AC13: maps/map-unclosed-parameters1.smithy retains exact source without claiming validity [24.87ms]
(pass) US-014-AC13: maps/map-unclosed-parameters2.smithy retains exact source without claiming validity [24.39ms]
(pass) US-014-AC13: maps/map-unclosed-parameters3.smithy retains exact source without claiming validity [24.28ms]
(pass) US-014-AC13: maps/map-unclosed-parameters4.smithy retains exact source without claiming validity [24.11ms]
(pass) US-014-AC13: metadata/invalid-object-shape-id-key.smithy retains exact source without claiming validity [24.21ms]
(pass) US-014-AC13: metadata/invalid-object-text-block-key.smithy retains exact source without claiming validity [23.91ms]
(pass) US-014-AC13: metadata/invalid-unquoted-shape-id.smithy retains exact source without claiming validity [22.42ms]
(pass) US-014-AC13: metadata/metadata-multiple-lines.smithy retains exact source without claiming validity [25.41ms]
(pass) US-014-AC13: metadata/metadata-must-come-before-namespace.smithy retains exact source without claiming validity [23.48ms]
(pass) US-014-AC13: metadata/metadata-with-invalid-key.smithy retains exact source without claiming validity [23.87ms]
(pass) US-014-AC13: metadata/no-newline-after-metadata.smithy retains exact source without claiming validity [23.43ms]
(pass) US-014-AC13: metadata/not-newline-after-metadata.smithy retains exact source without claiming validity [24.03ms]
(pass) US-014-AC13: metadata/space-after-metadata-quoted.smithy retains exact source without claiming validity [23.69ms]
(pass) US-014-AC13: metadata/space-after-metadata-unquoted.smithy retains exact source without claiming validity [22.98ms]
(pass) US-014-AC13: metadata/space-after-node-array-keyword.smithy retains exact source without claiming validity [24.36ms]
(pass) US-014-AC13: mixins/dangling-with.smithy retains exact source without claiming validity [24.23ms]
(pass) US-014-AC13: mixins/invalid-statement-after-structure-name.smithy retains exact source without claiming validity [23.08ms]
(pass) US-014-AC13: mixins/member-mixin-conflict-1.smithy retains exact source without claiming validity [23.95ms]
(pass) US-014-AC13: mixins/member-mixin-conflict-2.smithy retains exact source without claiming validity [20.62ms]
(pass) US-014-AC13: mixins/missing-rest-of-with-word.smithy retains exact source without claiming validity [24.87ms]
(pass) US-014-AC13: mixins/mix-types.smithy retains exact source without claiming validity [23.89ms]
(pass) US-014-AC13: mixins/mixins-trait-in-explicit-1-0.smithy retains exact source without claiming validity [23.21ms]
(pass) US-014-AC13: mixins/mixins-trait-in-implicit-1-0.smithy retains exact source without claiming validity [23.87ms]
(pass) US-014-AC13: mixins/mixins-usage-in-explicit-1-0.smithy retains exact source without claiming validity [23.17ms]
(pass) US-014-AC13: mixins/mixins-usage-in-implicit-1-0.smithy retains exact source without claiming validity [20.88ms]
(pass) US-014-AC13: mixins/operation-mixin-with-io.smithy retains exact source without claiming validity [24.80ms]
(pass) US-014-AC13: mixins/resource-mixin-with-properties.smithy retains exact source without claiming validity [23.33ms]
(pass) US-014-AC13: mixins/with-but-no-ids.smithy retains exact source without claiming validity [24.23ms]
(pass) US-014-AC13: mixins/with-on-next-line-bigDecimal.smithy retains exact source without claiming validity [26.42ms]
(pass) US-014-AC13: mixins/with-on-next-line-bigInteger.smithy retains exact source without claiming validity [25.32ms]
(pass) US-014-AC13: mixins/with-on-next-line-blob.smithy retains exact source without claiming validity [21.86ms]
(pass) US-014-AC13: mixins/with-on-next-line-boolean.smithy retains exact source without claiming validity [23.99ms]
